point, temperature, humidity 
강릉,26.8,81 
강진군,28.5,77 
강화,23.5,99 
거제,27.4,84 
거창,28.2,73 
경주시,30.2,66 
고산,28.8,90 
고창,29.0,76 
고창군,29.2,73 
고흥,27.8,83 
광양시,28.3,75 
광주,28.7,90 
구미,28.7,84 
군산,29.7,76 
금산,29.2,65 
김해시,27.8,82 
남원,28.9,72 
남해,28.9,78 
대관령,21.8,96 
대구,30.5,56 
대전,29.0,77 
동두천,24.0,100 
동해,23.1,96 
목포,28.5,82 
문경,28.0,82 
밀양,29.0,70 
백령도,24.0,97 
보령,26.7,87 
보성군,28.3,85 
보은,28.1,74 
봉화,23.0,95 
부산,28.3,79 
부안,28.8,77 
부여,28.9,76 
북강릉,25.8,86 
북창원,29.7,80 
북춘천,23.6,99 
산청,27.8,83 
상주,29.3,74 
서귀포,26.9,99 
서산,25.0,94 
서울,25.1,99 
성산,28.7,79 
세종,28.4,75 
속초,25.1,91 
수원,24.9,94 
순창군,27.9,79 
순천,27.5,82 
안동,27.8,73 
양산시,29.7,76 
양평,24.5,97 
여수,26.8,94 
영광군,28.8,77 
영덕,29.7,64 
영월,23.7,98 
영주,25.0,91 
영천,29.2,65 
완도,28.9,78 
울릉도,26.4,81 
울산,28.9,70 
울진,25.3,78 
원주,26.7,74 
의령군,29.7,69 
의성,29.8,67 
이천,26.1,95 
인제,23.6,95 
인천,24.2,97 
임실,26.7,82 
장수,26.4,78 
장흥,28.1,83 
전주,30.0,70 
정선군,23.6,94 
정읍,28.9,70 
제주,30.1,68 
제천,24.0,93 
진도군,28.0,87 
진주,28.2,80 
창원,28.7,74 
천안,25.5,95 
철원,24.8,100 
청송군,29.8,69 
청주,28.3,75 
추풍령,27.1,73 
춘천,24.0,98 
충주,27.0,80 
태백,23.8,80 
통영,27.4,100 
파주,23.7,100 
포항,30.9,61 
함양군,28.5,76 
합천,28.3,79 
해남,29.4,79 
홍성,27.2,84 
홍천,24.4,94 
흑산도,22.9,99 
